has_remove_from_cart,is_purchase,continent,is_new_visit,isMobile,last_add_to_cart_hour,number_of_user_actions,number_of_page_views,time_on_site,has_promo,first_add_to_cart_delay,add_to_cart_count,quick_click_count,onsite_click_count,product_click_count
False,False,Americas,True,False,15,6,8,145,False,88.59299999999998,3,3,0,0
False,False,Americas,True,True,2,2,13,676,False,614.5930000000002,1,1,0,0
False,False,Europe,True,True,8,8,7,128,False,61.425,2,5,0,1
False,False,Europe,False,True,15,3,13,342,False,98.22200000000001,1,2,0,0
False,False,Asia,True,False,18,4,13,376,False,301.135,1,3,0,0
False,False,Asia,True,True,2,4,13,178,False,27.738000000000003,1,3,0,0
False,True,Americas,False,False,13,1,16,427,False,10.904000000000002,1,0,0,0
True,False,Americas,True,False,14,10,9,212,False,28.48,4,4,0,0
False,False,Americas,True,True,13,6,13,994,False,142.71,1,5,0,0
False,False,Asia,False,True,0,6,13,1260,False,431.47900000000004,1,5,0,0
False,False,Americas,True,False,7,4,16,348,False,234.865,1,2,0,1
False,True,Americas,False,False,10,4,16,640,False,328.4480000000001,1,3,0,0
False,False,Americas,True,True,10,6,14,149,False,74.50399999999998,3,3,0,0
False,False,Americas,False,False,6,2,19,582,False,216.172,1,1,0,0
False,False,Europe,True,True,16,4,18,416,False,83.95299999999997,1,2,0,1
False,False,Americas,False,False,13,5,17,676,False,533.599,1,4,0,0
False,False,Asia,False,False,22,4,18,523,False,0.0,3,1,0,0
False,False,Americas,True,False,23,6,16,522,False,16.757,2,4,0,0
False,False,Americas,True,True,22,8,15,881,False,265.003,3,3,0,2
False,True,Americas,False,False,22,4,20,532,False,58.096000000000004,2,2,0,0
False,False,Americas,True,False,5,8,17,795,False,323.714,1,5,0,2
False,False,Americas,False,False,14,9,16,1430,False,2.441,4,5,0,0
False,False,Asia,True,True,11,7,19,995,False,540.768,2,5,0,0
False,False,Americas,False,False,17,12,14,415,False,225.734,4,5,0,3
False,False,Americas,True,True,10,9,17,1248,False,1044.792,4,4,0,1
True,False,Americas,True,False,0,2,25,743,False,652.47,1,0,0,0
False,False,Asia,True,False,7,4,23,2219,False,2198.0029999999997,1,3,0,0
False,False,Americas,True,False,9,6,22,1114,False,275.54400000000004,3,3,0,0
False,False,Americas,True,False,16,6,22,510,False,273.7,1,3,0,2
True,False,Americas,False,False,23,8,22,2019,False,75.192,1,2,0,0
False,False,Americas,True,True,20,18,13,496,False,63.003,2,2,0,2
False,False,Europe,False,True,7,4,27,824,False,44.19600000000001,1,3,0,0
True,False,Americas,False,False,17,7,24,958,False,94.73200000000001,2,2,0,0
False,False,Asia,False,False,8,9,23,1485,False,75.172,1,8,0,0
False,False,Oceania,True,False,17,7,26,895,False,169.91400000000004,3,2,0,2
False,True,Oceania,True,False,0,6,28,1548,False,907.742,2,2,0,2
False,False,Asia,True,True,1,10,28,692,False,312.784,3,6,0,1
False,True,Americas,False,False,20,7,33,1134,False,959.693,1,4,0,2
False,True,Americas,True,False,20,7,35,2517,False,165.05,3,4,0,0
False,False,Americas,True,False,10,11,35,1378,False,1018.4889999999999,1,10,0,0
False,True,Americas,True,False,13,11,44,1632,False,672.1410000000002,3,8,0,0
False,False,Americas,True,False,19,21,48,1080,False,550.237,3,9,0,9
False,False,Americas,True,False,20,2,1,143,False,105.29899999999999,1,0,0,1
False,False,Asia,True,False,1,1,2,13,False,10.43,1,0,0,0
False,False,Americas,True,False,18,2,2,289,False,274.337,2,0,0,0
False,False,Americas,True,False,20,3,1,176,False,106.38799999999999,3,0,0,0
False,False,Americas,True,False,12,2,3,150,False,106.436,1,1,0,0
False,False,Americas,True,False,18,2,3,111,False,108.568,1,1,0,0
False,False,Europe,False,False,5,1,4,33,False,10.878,1,0,0,0
False,False,Europe,False,True,0,2,4,54,False,5.848,1,1,0,0
False,False,Americas,False,False,9,1,6,78,False,67.459,1,0,0,0
False,False,Asia,True,True,3,2,5,152,False,152.466,1,1,0,0
False,False,Oceania,True,True,6,2,5,101,False,59.551,1,1,0,0
False,False,Americas,False,False,9,2,6,455,False,234.757,1,1,0,0
False,False,Americas,True,False,9,1,7,242,False,239.321,1,0,0,0
False,False,Americas,True,True,14,3,5,99,False,94.697,1,1,0,1
False,False,Asia,True,False,21,2,6,1926,False,167.481,1,1,0,0
False,False,Americas,False,False,15,3,6,63,False,18.121,2,1,0,0
False,False,Americas,False,False,21,1,8,449,False,0.0,1,0,0,0
False,False,Americas,True,False,23,2,8,139,False,10.753,1,1,0,0
False,False,Oceania,True,False,18,3,7,84,False,46.915,1,2,0,0
False,False,Asia,False,False,1,4,7,63,False,15.665999999999999,2,2,0,0
False,False,Americas,True,True,19,3,9,403,False,321.959,1,1,0,1
False,False,Americas,True,False,17,2,11,515,False,426.525,1,1,0,0
False,False,Americas,False,True,17,5,9,230,False,167.592,1,2,0,2
False,False,Americas,True,True,17,4,10,178,False,174.993,1,3,0,0
False,False,Americas,True,False,11,2,13,198,False,80.472,1,1,0,0
False,False,Oceania,True,False,22,4,11,319,False,121.617,1,3,0,0
False,False,Americas,True,False,18,3,12,530,False,219.965,1,2,0,0
False,False,Americas,False,False,16,4,12,548,False,77.43,2,2,0,0
False,False,Oceania,True,False,8,2,14,577,False,355.458,2,0,0,0
False,False,Americas,True,True,12,3,13,1893,False,1663.536,1,2,0,0
False,False,Americas,True,False,13,6,11,319,False,311.029,1,4,0,1
False,False,Americas,True,True,5,3,14,177,False,82.634,1,2,0,0
False,True,Americas,False,False,10,4,13,232,False,52.148,1,2,0,1
False,False,Americas,True,True,13,4,14,472,False,268.454,2,2,0,0
False,False,Americas,False,True,10,3,16,739,False,366.02099999999996,1,2,0,0
False,False,Americas,True,False,11,6,13,405,False,336.153,2,3,0,1
False,True,Americas,True,False,17,2,18,281,False,8.662,1,1,0,0
False,False,Americas,False,False,21,6,15,469,False,465.62199999999996,1,3,0,2
False,False,Asia,True,True,8,2,19,614,False,101.189,1,1,0,0
False,True,Americas,False,False,13,5,16,268,False,44.39,2,2,0,1
False,False,Americas,True,False,19,6,16,384,False,43.762,2,4,0,0
True,False,Americas,True,False,23,4,18,593,False,252.06799999999998,1,2,0,0
False,False,Oceania,True,False,6,5,17,550,False,322.214,1,4,0,0
False,False,Asia,True,True,20,6,16,480,False,437.00800000000004,1,3,0,2
False,True,Americas,True,False,18,1,23,1292,False,391.9,1,0,0,0
False,False,Asia,True,True,21,3,21,2015,False,1546.38,1,2,0,0
False,False,Americas,True,True,18,6,19,763,False,75.442,3,2,0,1
False,False,Europe,True,True,8,6,19,342,False,134.64600000000002,2,4,0,0
False,False,Europe,True,True,12,9,16,653,False,158.364,1,5,0,3
True,False,Europe,True,False,11,5,21,364,False,59.208999999999996,2,2,0,0
False,False,Americas,False,False,22,10,17,259,False,59.27,3,7,0,0
False,False,Americas,False,False,22,2,25,1144,False,42.336999999999996,1,1,0,0
False,False,Oceania,True,False,5,8,19,237,False,20.905,3,3,0,2
False,True,Americas,True,True,19,7,24,545,False,41.07,3,3,0,1
False,False,Americas,True,False,21,8,24,1876,False,1636.67,2,6,0,0
False,True,Americas,False,False,17,2,31,821,False,694.556,1,1,0,0
False,True,Americas,True,False,12,6,27,676,False,45.805,4,2,0,0
False,False,Americas,False,False,8,4,31,1088,False,349.724,2,1,0,1
True,False,Americas,False,False,15,4,31,1433,False,668.442,2,1,0,0
False,False,Europe,False,False,13,9,26,791,False,237.75900000000001,2,6,0,1
False,False,Americas,False,False,20,9,27,339,False,43.036,5,4,0,0
False,False,Asia,False,True,3,11,25,557,False,114.14399999999999,5,6,0,0
False,False,Europe,True,True,11,8,29,1341,False,1278.954,1,7,0,0
False,False,Asia,True,False,13,12,26,664,False,306.97,2,5,0,5
False,False,Americas,True,False,23,3,36,1141,False,366.48800000000006,2,1,0,0
True,False,Asia,False,False,13,7,33,1127,False,252.334,3,3,0,0
True,True,Americas,True,False,15,7,37,940,False,355.767,1,2,0,1
True,False,Americas,True,False,11,12,35,631,False,71.607,3,5,0,2
True,False,Asia,True,True,1,19,30,1385,False,131.227,4,13,0,0
False,False,Americas,True,False,19,16,45,1260,False,134.923,6,7,0,3
True,False,Americas,True,False,7,17,46,1732,False,405.465,3,7,0,4
True,True,Americas,False,False,16,9,60,3245,False,639.278,4,4,0,0
